epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,11.647336929563492,0.006944444444444444,0.32455,0.5831663326653305,9.619397662556435e-05,303.89,2026-09-06T17:42:03
2,7.53999121983846,0.09722222222222222,0.2656,0.5150300601202404,8.535533905932738e-05,322.18,2026-09-06T17:53:27
3,4.707119688155159,0.2718253968253968,0.21425,0.3627254509018034,6.91341716182545e-05,319.99,2026-09-06T18:04:05
4,2.914610204242525,0.44642857142857145,0.1799,0.29058116232464926,5e-05,298.52,2026-09-06T18:14:58
5,2.0417784395672025,0.5823412698412699,0.17145,0.26252505010020033,3.086582838174551e-05,323.98,2026-09-06T18:25:46
6,1.5169013487914251,0.6765873015873016,0.16805,0.25050100200400793,1.4644660940672627e-05,285.19,2026-09-06T18:35:34
7,1.2170468961435652,0.7033730158730159,0.15915,0.24248496993987967,3.8060233744356633e-06,290.0,2026-09-06T18:45:27
8,1.10475203513153,0.7281746031746031,0.1587,0.2464929859719438,0.0,285.44,2026-09-06T18:55:16
