epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,11.588732367295485,0.0009615384615384616,0.29905000000000004,0.6072144288577153,9.619397662556435e-05,801.33,2026-09-06T15:06:48
2,7.027083939772385,0.10192307692307692,0.22949999999999998,0.5791583166332663,8.535533905932738e-05,826.92,2026-09-06T15:26:42
3,3.4810552523686336,0.3817307692307692,0.191,0.4388777555110219,6.91341716182545e-05,820.56,2026-09-06T15:46:23
4,1.8154041033524733,0.5903846153846154,0.17420000000000002,0.3306613226452906,5e-05,814.76,2026-09-06T16:06:02
5,0.9212960651287666,0.7625,0.1741,0.2865731462925851,3.086582838174551e-05,820.51,2026-09-06T16:25:44
6,0.5829945690356768,0.8346153846153846,0.16410000000000002,0.26252505010020033,1.4644660940672627e-05,822.18,2026-09-06T16:45:27
7,0.4144534555192177,0.8923076923076924,0.159,0.2344689378757514,3.8060233744356633e-06,813.82,2026-09-06T17:05:00
8,0.3299321762071206,0.9028846153846154,0.15575,0.23046092184368727,0.0,823.58,2026-09-06T17:24:45
