epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.305530912735883,0.0,0.26115,0.7474949899799597,9.890738003669029e-05,284.82,2026-09-04T03:21:22
2,11.252264724058264,0.0,0.2275,0.5911823647294587,9.567727288213005e-05,294.58,2026-09-04T03:29:38
3,8.842326038024005,0.015318627450980392,0.20575,0.6513026052104207,9.045084971874738e-05,220.95,2026-09-04T03:36:38
4,6.216589464860804,0.1096813725490196,0.1806,0.4949899799599198,8.345653031794292e-05,211.65,2026-09-04T03:43:29
5,4.280484508065617,0.27328431372549017,0.1535,0.3707414829659317,7.500000000000001e-05,211.67,2026-09-04T03:50:22
6,3.0726129167220173,0.41237745098039214,0.1502,0.3346693386773545,6.545084971874738e-05,212.11,2026-09-04T03:57:15
7,2.37598973162034,0.5128676470588235,0.1478,0.26252505010020033,5.522642316338269e-05,210.69,2026-09-04T04:04:07
8,1.8337085878147799,0.6139705882352942,0.1528,0.2464929859719438,4.4773576836617344e-05,210.15,2026-09-04T04:11:04
9,1.5358520763761856,0.6654411764705882,0.1466,0.2344689378757514,3.454915028125264e-05,289.35,2026-09-04T04:19:11
10,1.2204839271657608,0.7162990196078431,0.16849999999999998,0.32665330661322645,2.5000000000000018e-05,213.15,2026-09-04T04:26:04
11,1.1698791524943184,0.7254901960784313,0.14084999999999998,0.25050100200400793,1.654346968205711e-05,210.73,2026-09-04T04:32:55
12,1.0297120458939497,0.7542892156862745,0.14585,0.2344689378757514,9.549150281252635e-06,211.97,2026-09-04T04:39:46
13,0.9184831661336562,0.7714460784313726,0.14024999999999999,0.23046092184368727,4.322727117869952e-06,210.83,2026-09-04T04:46:36
14,0.9196449237711289,0.7702205882352942,0.14284999999999998,0.23046092184368727,1.092619963309716e-06,212.16,2026-09-04T04:53:29
15,0.946439644869636,0.7830882352941176,0.14275,0.23046092184368727,0.0,212.64,2026-09-04T05:00:20
