epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.437271350138897,0.0,0.2387,0.6833667334669338,9.890738003669029e-05,368.13,2026-09-03T22:01:11
2,10.792239962397394,0.0,0.19165,0.6352705410821642,9.567727288213005e-05,413.19,2026-09-03T22:12:41
3,7.263297738255681,0.08783783783783784,0.17765,0.5751503006012022,9.045084971874738e-05,434.2,2026-09-03T22:25:14
4,4.0800701283119825,0.34065315315315314,0.1703,0.41482965931863713,8.345653031794292e-05,417.87,2026-09-03T22:36:59
5,2.2407606550165124,0.5720720720720721,0.14915,0.35470941883767515,7.500000000000001e-05,410.77,2026-09-03T22:48:31
6,1.2242188759752222,0.7302927927927928,0.17370000000000002,0.3627254509018034,6.545084971874738e-05,403.81,2026-09-03T22:59:50
7,0.6434033617780015,0.8530405405405406,0.1477,0.27855711422845686,5.522642316338269e-05,393.07,2026-09-03T23:10:59
8,0.37617315271416224,0.911036036036036,0.1446,0.2705410821643286,4.4773576836617344e-05,393.71,2026-09-03T23:22:04
9,0.2645764791884938,0.9403153153153153,0.13785,0.2464929859719438,3.454915028125264e-05,450.14,2026-09-03T23:34:12
10,0.16603563715879982,0.964527027027027,0.14234999999999998,0.23847695390781554,2.5000000000000018e-05,390.44,2026-09-03T23:45:18
11,0.12934876323954478,0.9752252252252253,0.13355,0.2344689378757514,1.654346968205711e-05,399.79,2026-09-03T23:57:22
