epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.195327000740248,0.0,0.24925,0.6833667334669338,9.890738003669029e-05,386.12,2026-09-03T10:17:14
2,10.278490188794258,0.0016025641025641025,0.184,0.6232464929859718,9.567727288213005e-05,436.22,2026-09-03T10:29:21
3,6.30657958984375,0.1330128205128205,0.14435,0.44288577154308606,9.045084971874738e-05,420.91,2026-09-03T10:41:06
4,3.23781095406948,0.44871794871794873,0.1326,0.4629258517034067,8.345653031794292e-05,406.94,2026-09-03T10:52:37
5,1.600248776949369,0.6853632478632479,0.11549999999999999,0.3587174348697393,7.500000000000001e-05,407.52,2026-09-03T11:04:07
6,0.8392636004166726,0.8028846153846154,0.11030000000000001,0.3066132264529058,6.545084971874738e-05,413.92,2026-09-03T11:15:43
7,0.4264384718277516,0.9022435897435898,0.10594999999999999,0.3186372745490982,5.522642316338269e-05,413.91,2026-09-03T11:27:24
8,0.2414016937598204,0.9364316239316239,0.1118,0.3106212424849699,4.4773576836617344e-05,409.49,2026-09-03T11:39:02
9,0.14540011072770143,0.968482905982906,0.118,0.31462925851703405,3.454915028125264e-05,407.12,2026-09-03T11:50:49
10,0.10991864980986485,0.9754273504273504,0.1001,0.27855711422845686,2.5000000000000018e-05,412.21,2026-09-03T12:02:24
11,0.06517321155525935,0.9898504273504274,0.10600000000000001,0.29058116232464926,1.654346968205711e-05,430.99,2026-09-03T12:14:21
12,0.054593659400080256,0.9903846153846154,0.1114,0.2745490981963927,9.549150281252635e-06,410.75,2026-09-03T12:26:06
13,0.043592278129206255,0.9919871794871795,0.10445,0.26653306613226446,4.322727117869952e-06,420.96,2026-09-03T12:37:53
