epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.204887785562654,0.0,0.2619,0.6513026052104207,9.890738003669029e-05,254.81,2026-09-03T16:49:24
2,10.945826065249559,0.0005081300813008131,0.2173,0.599198396793587,9.567727288213005e-05,251.37,2026-09-03T16:56:35
3,8.275832978690543,0.047764227642276426,0.1793,0.5150300601202404,9.045084971874738e-05,256.09,2026-09-03T17:03:56
4,5.740103675097954,0.15091463414634146,0.1474,0.3827655310621241,8.345653031794292e-05,259.24,2026-09-03T17:11:22
5,4.01051991160323,0.2936991869918699,0.13785,0.31462925851703405,7.500000000000001e-05,260.83,2026-09-03T17:18:47
6,2.867503227257147,0.43546747967479676,0.13824999999999998,0.350701402805611,6.545084971874738e-05,290.35,2026-09-03T17:28:21
7,2.1482431626901395,0.5248983739837398,0.1197,0.2865731462925851,5.522642316338269e-05,352.41,2026-09-03T17:37:12
8,1.6138801211264076,0.6300813008130082,0.12919999999999998,0.282565130260521,4.4773576836617344e-05,250.27,2026-09-03T17:44:20
9,1.2724360721867258,0.6900406504065041,0.11285,0.2705410821643286,3.454915028125264e-05,253.39,2026-09-03T17:51:33
10,1.0764171750080296,0.7413617886178862,0.13405,0.25450901803607207,2.5000000000000018e-05,250.12,2026-09-03T17:58:43
11,1.0093160933110772,0.7474593495934959,0.11665,0.23847695390781554,1.654346968205711e-05,250.87,2026-09-03T18:05:54
12,0.8801877803918792,0.7693089430894309,0.11405,0.2344689378757514,9.549150281252635e-06,250.19,2026-09-03T18:13:04
