epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.255766682508515,0.0,0.28885,0.6112224448897794,9.890738003669029e-05,252.81,2026-09-04T05:11:22
2,10.765813641431855,0.004573170731707317,0.20815,0.5831663326653305,9.567727288213005e-05,252.18,2026-09-04T05:18:23
3,7.96175310088367,0.0665650406504065,0.20065,0.5270541082164328,9.045084971874738e-05,250.72,2026-09-04T05:25:21
4,5.5941282830587244,0.2073170731707317,0.18064999999999998,0.410821643286573,8.345653031794292e-05,251.11,2026-09-04T05:32:20
5,3.970069955034954,0.3358739837398374,0.14565,0.2865731462925851,7.500000000000001e-05,250.92,2026-09-04T05:39:19
6,2.898826933488613,0.45426829268292684,0.1399,0.26252505010020033,6.545084971874738e-05,252.31,2026-09-04T05:46:19
7,2.2033671227897087,0.5492886178861789,0.15494999999999998,0.2985971943887775,5.522642316338269e-05,253.04,2026-09-04T05:53:19
8,1.7363893200711507,0.6158536585365854,0.1429,0.26252505010020033,4.4773576836617344e-05,251.56,2026-09-04T06:00:18
9,1.413305664934763,0.6646341463414634,0.13145,0.2585170340681362,3.454915028125264e-05,258.57,2026-09-04T06:07:40
10,1.1813518128743985,0.7032520325203252,0.12845,0.24248496993987967,2.5000000000000018e-05,253.5,2026-09-04T06:14:41
11,1.0059554693175525,0.7520325203252033,0.1286,0.2344689378757514,1.654346968205711e-05,251.68,2026-09-04T06:21:44
12,0.9184290119787542,0.7616869918699187,0.1285,0.2344689378757514,9.549150281252635e-06,252.62,2026-09-04T06:28:43
13,0.8630699660719895,0.7693089430894309,0.1283,0.22645290581162314,4.322727117869952e-06,253.58,2026-09-04T06:35:45
14,0.7706807306626948,0.8058943089430894,0.1274,0.22645290581162314,1.092619963309716e-06,254.2,2026-09-04T06:42:47
15,0.7811004214170503,0.801829268292683,0.12745,0.22645290581162314,0.0,252.42,2026-09-04T06:49:46
