epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.560784578323364,0.0,,,9.890738003669029e-05,820.0,2026-09-04T07:06:56
2,9.425884798953408,0.03892543859649123,,,9.567727288213005e-05,832.14,2026-09-04T07:20:48
3,5.281663577807577,0.25301535087719296,,,9.045084971874738e-05,858.89,2026-09-04T07:35:07
4,2.659248582626644,0.5224780701754386,,,8.345653031794292e-05,818.18,2026-09-04T07:48:45
5,1.3825854392428147,0.7261513157894737,,,7.500000000000001e-05,818.14,2026-09-04T08:02:24
6,0.7221382640694317,0.8429276315789473,,,6.545084971874738e-05,863.74,2026-09-04T08:16:48
7,0.39003097349287646,0.9155701754385965,,,5.522642316338269e-05,826.87,2026-09-04T08:30:34
8,0.2283354563344466,0.9533991228070176,,,4.4773576836617344e-05,834.03,2026-09-04T08:44:29
9,0.14985353377108512,0.9703947368421053,,,3.454915028125264e-05,821.61,2026-09-04T08:58:10
10,0.09578618564103779,0.9835526315789473,,,2.5000000000000018e-05,833.7,2026-09-04T09:12:04
11,0.062429800041412055,0.9884868421052632,,,1.654346968205711e-05,816.38,2026-09-04T09:25:40
12,0.05291057450353707,0.9912280701754386,,,9.549150281252635e-06,831.35,2026-09-04T09:39:32
13,0.0447314596783958,0.9942434210526315,,,4.322727117869952e-06,834.41,2026-09-04T09:53:26
14,0.04105025740634454,0.9939692982456141,,,1.092619963309716e-06,849.39,2026-09-04T10:07:36
15,0.0391153361538033,0.9956140350877193,,,0.0,843.66,2026-09-04T10:21:40
