epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.33051825932094,0.0,0.3105,0.6673346693386772,9.890738003669029e-05,355.35,2026-09-04T13:30:28
2,10.494457353864398,0.008928571428571428,0.24275000000000002,0.5430861723446891,9.567727288213005e-05,378.84,2026-09-04T13:41:35
3,6.931102343967983,0.0880952380952381,0.1965,0.4829659318637274,9.045084971874738e-05,375.94,2026-09-04T13:52:33
4,3.6989710194723946,0.37797619047619047,0.19325,0.3707414829659317,8.345653031794292e-05,377.2,2026-09-04T14:03:34
5,1.9263188464300973,0.6267857142857143,0.2119,0.3627254509018034,7.500000000000001e-05,378.53,2026-09-04T14:14:35
6,0.9935963860579899,0.7863095238095238,0.18145,0.26653306613226446,6.545084971874738e-05,373.76,2026-09-04T14:25:29
7,0.5156454265117645,0.8714285714285714,0.16875,0.2464929859719438,5.522642316338269e-05,376.11,2026-09-04T14:36:30
8,0.267596432353769,0.9351190476190476,0.1911,0.2985971943887775,4.4773576836617344e-05,375.17,2026-09-04T14:47:29
9,0.1583624752504485,0.9619047619047619,0.1648,0.22645290581162314,3.454915028125264e-05,379.28,2026-09-04T14:58:31
10,0.10955182569367546,0.9726190476190476,0.15765,0.2344689378757514,2.5000000000000018e-05,379.19,2026-09-04T15:09:41
11,0.07138330284506082,0.9875,0.1604,0.20641282565130248,1.654346968205711e-05,384.9,2026-09-04T15:20:48
12,0.06361310269151416,0.9863095238095239,0.16065000000000002,0.20641282565130248,9.549150281252635e-06,387.57,2026-09-04T15:31:57
13,0.05467242577246257,0.9904761904761905,0.15795,0.20641282565130248,4.322727117869952e-06,377.94,2026-09-04T15:43:00
