epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,11.398834100476018,0.007523148148148148,0.2044,0.6192384769539077,9.890738003669029e-05,1327.47,2026-09-08T07:05:36
2,6.098303624877223,0.1857638888888889,0.14045000000000002,0.3947895791583165,9.567727288213005e-05,1349.73,2026-09-08T07:37:10
3,3.0953130810349077,0.4525462962962963,0.13815,0.350701402805611,9.045084971874738e-05,1346.63,2026-09-08T08:07:46
4,1.535422698215202,0.6655092592592593,0.1095,0.3346693386773545,8.345653031794292e-05,1352.94,2026-09-08T08:38:34
5,0.8253428573133769,0.8009259259259259,0.1158,0.32665330661322645,7.500000000000001e-05,1341.03,2026-09-08T09:09:10
6,0.4661646478774923,0.8726851851851852,0.1231,0.34268537074148275,6.545084971874738e-05,1341.63,2026-09-08T09:39:52
7,0.28640458870817115,0.9236111111111112,0.101,0.3106212424849699,5.522642316338269e-05,1349.51,2026-09-08T10:10:48
8,0.15379554005253507,0.9594907407407407,0.1095,0.3386773547094186,4.4773576836617344e-05,1348.46,2026-09-08T10:41:39
9,0.12329181034928532,0.9670138888888888,0.0948,0.3226452905811623,3.454915028125264e-05,1373.06,2026-09-08T11:13:07
10,0.08091279691844075,0.9832175925925926,0.09365000000000001,0.3186372745490982,2.5000000000000018e-05,1343.88,2026-09-08T11:43:53
11,0.06051398806286872,0.9866898148148148,0.09315000000000001,0.3306613226452906,1.654346968205711e-05,1359.2,2026-09-08T12:14:50
12,0.04366114651094432,0.9901620370370371,0.09195,0.3226452905811623,9.549150281252635e-06,1333.13,2026-09-08T12:45:21
13,0.042064713357292394,0.9907407407407407,0.09125,0.3226452905811623,4.322727117869952e-06,1336.12,2026-09-08T13:16:03
14,0.04024246448318957,0.9936342592592593,0.09204999999999999,0.3186372745490982,1.092619963309716e-06,1335.58,2026-09-08T13:46:35
15,0.029939317691497744,0.9947916666666666,0.09125,0.3186372745490982,0.0,1338.81,2026-09-08T14:17:13
