epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.274231132708097,0.0,0.2723,0.6633266533066131,9.890738003669029e-05,391.74,2026-09-04T10:36:35
2,10.421964268935355,0.005482456140350877,0.19145,0.5791583166332663,9.567727288213005e-05,406.76,2026-09-04T10:47:51
3,6.422898474492524,0.13980263157894737,0.16399999999999998,0.5110220440881763,9.045084971874738e-05,418.72,2026-09-04T10:59:15
4,3.226889547548796,0.4199561403508772,0.1441,0.3947895791583165,8.345653031794292e-05,432.08,2026-09-04T11:11:00
5,1.5601334901232469,0.6880482456140351,0.1366,0.40280561122244474,7.500000000000001e-05,437.02,2026-09-04T11:22:41
6,0.7709154588611502,0.8322368421052632,0.13245,0.3587174348697393,6.545084971874738e-05,409.54,2026-09-04T11:33:59
7,0.4019500891629018,0.9057017543859649,0.12434999999999999,0.3106212424849699,5.522642316338269e-05,413.48,2026-09-04T11:45:14
8,0.2510684740386511,0.9375,0.12329999999999999,0.30260521042084165,4.4773576836617344e-05,405.48,2026-09-04T11:56:27
9,0.14058398303428762,0.9665570175438597,0.12669999999999998,0.2945891783567134,3.454915028125264e-05,412.05,2026-09-04T12:07:52
10,0.10324936874799039,0.9775219298245614,0.12395,0.26252505010020033,2.5000000000000018e-05,413.7,2026-09-04T12:19:10
11,0.06035061053147441,0.9884868421052632,0.1222,0.2585170340681362,1.654346968205711e-05,422.18,2026-09-04T12:30:42
12,0.05009451359020252,0.9906798245614035,0.1207,0.25450901803607207,9.549150281252635e-06,409.9,2026-09-04T12:41:55
13,0.037694659059573164,0.9939692982456141,0.122,0.25050100200400793,4.322727117869952e-06,405.32,2026-09-04T12:53:10
14,0.04551399258994743,0.993421052631579,0.1226,0.2464929859719438,1.092619963309716e-06,408.07,2026-09-04T13:04:21
15,0.03572334675118327,0.9939692982456141,0.12185,0.2464929859719438,0.0,409.32,2026-09-04T13:15:34
