epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.003794644329998,0.0,0.29984999999999995,0.6192384769539077,9.890738003669029e-05,309.45,2026-09-03T15:05:57
2,10.742900848388672,0.0,0.24880000000000002,0.5430861723446891,9.567727288213005e-05,365.76,2026-09-03T15:16:52
3,8.016450521108267,0.04391891891891892,0.23735,0.5951903807615229,9.045084971874738e-05,304.12,2026-09-03T15:25:13
4,5.3995164536141065,0.17736486486486486,0.1699,0.3306613226452906,8.345653031794292e-05,227.04,2026-09-03T15:32:17
5,3.674676592285569,0.34346846846846846,0.17120000000000002,0.2985971943887775,7.500000000000001e-05,226.83,2026-09-03T15:39:22
6,2.598075824814874,0.4983108108108108,0.17645,0.350701402805611,6.545084971874738e-05,226.85,2026-09-03T15:46:24
7,1.8862604418316402,0.5861486486486487,0.14825,0.34268537074148275,5.522642316338269e-05,227.02,2026-09-03T15:53:27
8,1.4147668190904565,0.6632882882882883,0.15535,0.31462925851703405,4.4773576836617344e-05,226.91,2026-09-03T16:00:31
9,1.144137983386581,0.713963963963964,0.1553,0.2865731462925851,3.454915028125264e-05,243.32,2026-09-03T16:09:06
10,0.9423199875934704,0.7578828828828829,0.1422,0.2344689378757514,2.5000000000000018e-05,240.13,2026-09-03T16:16:33
11,0.8306320019670435,0.7877252252252253,0.16555,0.222444889779559,1.654346968205711e-05,227.24,2026-09-03T16:23:38
12,0.7069545219073424,0.7984234234234234,0.1566,0.21843687374749488,9.549150281252635e-06,242.61,2026-09-03T16:31:04
13,0.6755858522814673,0.8170045045045045,0.1565,0.2104208416833666,4.322727117869952e-06,229.16,2026-09-03T16:38:10
