epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.294882129220401,0.0,0.26015,0.659318637274549,9.890738003669029e-05,303.88,2026-09-05T03:16:22
2,11.330375166500316,0.0,0.21065,0.5831663326653305,9.567727288213005e-05,329.43,2026-09-05T03:25:51
3,9.192905061385211,0.001838235294117647,0.1669,0.5551102204408815,9.045084971874738e-05,214.91,2026-09-05T03:32:29
4,6.7267100670758415,0.08149509803921569,0.14755000000000001,0.4228456913827654,8.345653031794292e-05,212.78,2026-09-05T03:39:03
5,4.822669870713177,0.22365196078431374,0.1526,0.3707414829659317,7.500000000000001e-05,211.28,2026-09-05T03:45:35
6,3.673858600504258,0.3431372549019608,0.13345,0.3226452905811623,6.545084971874738e-05,211.4,2026-09-05T03:52:07
7,2.6966836312237907,0.4540441176470588,0.12745,0.29058116232464926,5.522642316338269e-05,211.82,2026-09-05T03:58:39
8,2.0760982282021465,0.5349264705882353,0.1236,0.29058116232464926,4.4773576836617344e-05,213.67,2026-09-05T04:05:15
9,1.6979686652912813,0.5925245098039216,0.11685000000000001,0.282565130260521,3.454915028125264e-05,211.77,2026-09-05T04:11:57
10,1.423353572102154,0.6556372549019608,0.12,0.27855711422845686,2.5000000000000018e-05,214.86,2026-09-05T04:18:33
11,1.2478223092415754,0.6942401960784313,0.11175,0.2585170340681362,1.654346968205711e-05,214.12,2026-09-05T04:25:08
12,1.0203621071927689,0.7242647058823529,0.11695,0.25050100200400793,9.549150281252635e-06,212.57,2026-09-05T04:31:40
13,0.9904220998287201,0.7346813725490197,0.11295,0.24248496993987967,4.322727117869952e-06,212.89,2026-09-05T04:38:13
14,1.0082889961845733,0.727328431372549,0.11574999999999999,0.2464929859719438,1.092619963309716e-06,211.73,2026-09-05T04:44:45
