epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.338375091552734,0.0,0.25985,0.7274549098196392,9.890738003669029e-05,336.76,2026-09-05T00:55:10
2,10.657170267666087,0.003676470588235294,0.19915,0.5791583166332663,9.567727288213005e-05,365.73,2026-09-05T01:05:51
3,7.307830431882073,0.0900735294117647,0.1844,0.5551102204408815,9.045084971874738e-05,363.02,2026-09-05T01:16:29
4,4.028137375326717,0.3382352941176471,0.16210000000000002,0.46693386773547085,8.345653031794292e-05,363.13,2026-09-05T01:27:10
5,2.149853229522705,0.5986519607843137,0.14934999999999998,0.35470941883767515,7.500000000000001e-05,361.19,2026-09-05T01:37:44
6,1.18447943733019,0.7598039215686274,0.14455,0.3066132264529058,6.545084971874738e-05,361.96,2026-09-05T01:48:16
7,0.6460240439457052,0.8529411764705882,0.13605,0.26653306613226446,5.522642316338269e-05,359.34,2026-09-05T01:58:47
8,0.3595518993542475,0.9074754901960784,0.13755,0.2745490981963927,4.4773576836617344e-05,364.59,2026-09-05T02:09:29
9,0.19779292011962218,0.9534313725490197,0.134,0.2585170340681362,3.454915028125264e-05,360.34,2026-09-05T02:20:03
10,0.13451715657377944,0.9626225490196079,0.12895,0.25450901803607207,2.5000000000000018e-05,362.3,2026-09-05T02:30:38
11,0.11187124542672844,0.9736519607843137,0.1325,0.24248496993987967,1.654346968205711e-05,362.2,2026-09-05T02:41:12
12,0.08030548467136481,0.9816176470588235,0.1317,0.2344689378757514,9.549150281252635e-06,360.76,2026-09-05T02:51:43
13,0.06421834400252384,0.9877450980392157,0.1316,0.23046092184368727,4.322727117869952e-06,359.16,2026-09-05T03:02:15
