epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.24863472500363,0.0,0.275,0.6553106212424848,9.890738003669029e-05,230.69,2026-09-05T04:54:47
2,10.822587631844186,0.0005630630630630631,0.2338,0.5831663326653305,9.567727288213005e-05,229.58,2026-09-05T05:01:22
3,8.24370475717493,0.04954954954954955,0.18705,0.46693386773547085,9.045084971874738e-05,231.61,2026-09-05T05:08:04
4,5.769957207344674,0.1858108108108108,0.17345,0.35470941883767515,8.345653031794292e-05,229.89,2026-09-05T05:14:41
5,4.146916808308782,0.32207207207207206,0.1729,0.3707414829659317,7.500000000000001e-05,231.39,2026-09-05T05:21:20
6,3.0270985429351396,0.44256756756756754,0.17175,0.34268537074148275,6.545084971874738e-05,230.12,2026-09-05T05:27:56
7,2.2521379831674935,0.5506756756756757,0.15460000000000002,0.282565130260521,5.522642316338269e-05,229.43,2026-09-05T05:34:33
8,1.7851395961400625,0.6272522522522522,0.15594999999999998,0.26653306613226446,4.4773576836617344e-05,229.59,2026-09-05T05:41:08
9,1.4653942826631907,0.6846846846846847,0.13915,0.222444889779559,3.454915028125264e-05,231.45,2026-09-05T05:49:10
10,1.2192056114609178,0.7274774774774775,0.14529999999999998,0.2344689378757514,2.5000000000000018e-05,331.65,2026-09-05T05:57:28
11,1.0801816196055025,0.7556306306306306,0.14335,0.2104208416833666,1.654346968205711e-05,230.33,2026-09-05T06:04:06
12,1.025116749711939,0.7556306306306306,0.1401,0.1983967935871742,9.549150281252635e-06,229.61,2026-09-05T06:10:46
