epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,12.997447245829814,0.0,0.25225,0.6873747494989979,9.890738003669029e-05,374.52,2026-09-04T22:07:00
2,9.937590599060059,0.04110360360360361,0.20124999999999998,0.6072144288577153,9.567727288213005e-05,410.71,2026-09-04T22:18:01
3,6.466232377129632,0.14921171171171171,0.18355,0.503006012024048,9.045084971874738e-05,402.92,2026-09-04T22:29:05
4,3.519681814554575,0.42736486486486486,0.1764,0.3587174348697393,8.345653031794292e-05,409.07,2026-09-04T22:40:04
5,1.8022246489653717,0.651463963963964,0.1462,0.2985971943887775,7.500000000000001e-05,395.4,2026-09-04T22:50:47
6,0.9263479484094156,0.7882882882882883,0.14129999999999998,0.2745490981963927,6.545084971874738e-05,403.26,2026-09-04T23:01:40
7,0.5062346265122697,0.8907657657657657,0.13115,0.2945891783567134,5.522642316338269e-05,409.46,2026-09-04T23:12:47
8,0.28085343116844025,0.9397522522522522,0.125,0.25450901803607207,4.4773576836617344e-05,439.42,2026-09-04T23:24:40
9,0.17530069812326818,0.9566441441441441,0.12735,0.26252505010020033,3.454915028125264e-05,413.24,2026-09-04T23:35:41
10,0.11505875439458602,0.9740990990990991,0.1243,0.24248496993987967,2.5000000000000018e-05,394.31,2026-09-04T23:46:21
11,0.08904102046948832,0.9763513513513513,0.1224,0.24248496993987967,1.654346968205711e-05,376.51,2026-09-04T23:56:44
12,0.06700415783435912,0.9842342342342343,0.12445,0.24248496993987967,9.549150281252635e-06,398.77,2026-09-05T00:07:36
13,0.053686731117399966,0.9921171171171171,0.12195,0.23046092184368727,4.322727117869952e-06,407.73,2026-09-05T00:18:40
14,0.04325717408210039,0.9932432432432432,0.12160000000000001,0.23046092184368727,1.092619963309716e-06,401.83,2026-09-05T00:29:38
15,0.04506366639523893,0.9921171171171171,0.1199,0.2344689378757514,0.0,398.8,2026-09-05T00:40:25
