epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.254225624932182,0.0,0.3137,0.7274549098196392,9.890738003669029e-05,224.03,2026-09-04T17:41:55
2,10.989006810718113,0.0,0.247,0.5951903807615229,9.567727288213005e-05,222.35,2026-09-04T17:48:40
3,8.358093354437086,0.03819444444444445,0.20865,0.5671342685370739,9.045084971874738e-05,223.15,2026-09-04T17:55:25
4,5.827011068662007,0.14988425925925927,0.1716,0.3827655310621241,8.345653031794292e-05,221.52,2026-09-04T18:02:08
5,4.076488488250309,0.30613425925925924,0.1925,0.41482965931863713,7.500000000000001e-05,224.72,2026-09-04T18:08:54
6,2.895333813296424,0.4322916666666667,0.15055000000000002,0.2985971943887775,6.545084971874738e-05,223.25,2026-09-04T18:15:39
7,2.1889917618698544,0.5306712962962963,0.14229999999999998,0.3066132264529058,5.522642316338269e-05,222.84,2026-09-04T18:22:23
8,1.6192531171772215,0.6221064814814815,0.1371,0.24248496993987967,4.4773576836617344e-05,223.33,2026-09-04T18:29:07
9,1.3507238941060171,0.6759259259259259,0.1386,0.2464929859719438,3.454915028125264e-05,223.4,2026-09-04T18:35:52
10,1.1057802736759186,0.734375,0.13924999999999998,0.27855711422845686,2.5000000000000018e-05,220.91,2026-09-04T18:42:36
11,0.974292559756173,0.7476851851851852,0.1441,0.2344689378757514,1.654346968205711e-05,222.87,2026-09-04T18:49:20
