epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,11.783554327996422,0.002962085308056872,,,9.890738003669029e-05,2647.79,2026-09-08T15:11:30
2,6.3602587894240825,0.14454976303317535,,,9.567727288213005e-05,2635.7,2026-09-08T15:55:26
3,3.121614330187793,0.4152843601895735,,,9.045084971874738e-05,2629.31,2026-09-08T16:39:15
4,1.5659305242848058,0.6549170616113744,,,8.345653031794292e-05,2636.82,2026-09-08T17:23:12
5,0.8670601262512365,0.7893957345971564,,,7.500000000000001e-05,2617.42,2026-09-08T18:06:49
6,0.5132140546013111,0.8687796208530806,,,6.545084971874738e-05,2632.31,2026-09-08T18:50:42
7,0.3039593705157109,0.918542654028436,,,5.522642316338269e-05,2616.72,2026-09-08T19:34:18
8,0.19924666567471638,0.9466824644549763,,,4.4773576836617344e-05,2653.24,2026-09-08T20:18:32
9,0.10738137588611146,0.9751184834123223,,,3.454915028125264e-05,2633.74,2026-09-08T21:02:25
10,0.0848408169664831,0.980154028436019,,,2.5000000000000018e-05,2630.18,2026-09-08T21:46:16
11,0.06112775529825274,0.9869668246445498,,,1.654346968205711e-05,2636.14,2026-09-08T22:30:12
12,0.05837035234145802,0.9893364928909952,,,9.549150281252635e-06,2614.23,2026-09-08T23:13:46
13,0.039200000089187156,0.9928909952606635,,,4.322727117869952e-06,2612.94,2026-09-08T23:57:19
14,0.035329559187832954,0.994372037914692,,,1.092619963309716e-06,2604.31,2026-09-09T00:40:43
15,0.033364346981935765,0.9955568720379147,,,0.0,2606.02,2026-09-09T01:24:09
