epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,11.445735866583666,0.0018203883495145632,0.25379999999999997,0.49098196392785565,9.890738003669029e-05,1282.24,2026-09-08T02:54:58
2,5.919005470368469,0.15169902912621358,0.17815,0.410821643286573,9.567727288213005e-05,1285.52,2026-09-08T03:25:17
3,2.7149456936178855,0.4684466019417476,0.13855,0.31462925851703405,9.045084971874738e-05,1285.36,2026-09-08T03:55:25
4,1.1778215680596897,0.7317961165048543,0.11835000000000001,0.2865731462925851,8.345653031794292e-05,1280.68,2026-09-08T04:25:35
5,0.5677189142669289,0.8489077669902912,0.1137,0.3106212424849699,7.500000000000001e-05,1281.58,2026-09-08T04:55:32
6,0.3123825878917592,0.908373786407767,0.12225,0.282565130260521,6.545084971874738e-05,1283.55,2026-09-08T05:25:35
7,0.1818737945998612,0.9466019417475728,0.1297,0.2705410821643286,5.522642316338269e-05,1280.0,2026-09-08T05:55:36
8,0.10465232515255514,0.9702669902912622,0.11415,0.282565130260521,4.4773576836617344e-05,1287.06,2026-09-08T06:25:44
