epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,11.728387338509831,0.006800518134715026,,,9.890738003669029e-05,2404.53,2026-09-09T14:37:54
2,6.38030274914954,0.16968911917098445,,,9.567727288213005e-05,2392.14,2026-09-09T15:17:46
3,3.3150884654237815,0.41871761658031087,,,9.045084971874738e-05,2393.19,2026-09-09T15:57:39
4,1.727041451578931,0.625,,,8.345653031794292e-05,2399.61,2026-09-09T16:37:39
5,0.9769140602007431,0.7642487046632125,,,7.500000000000001e-05,2456.16,2026-09-09T17:18:35
6,0.5815466967618836,0.8471502590673575,,,6.545084971874738e-05,2422.04,2026-09-09T17:58:57
7,0.3717523979245072,0.903821243523316,,,5.522642316338269e-05,2411.54,2026-09-09T18:39:09
8,0.2328995785294728,0.9362046632124352,,,4.4773576836617344e-05,2391.81,2026-09-09T19:19:01
9,0.1482536844822332,0.9591968911917098,,,3.454915028125264e-05,2400.78,2026-09-09T19:59:02
10,0.10425961297849878,0.9689119170984456,,,2.5000000000000018e-05,2409.12,2026-09-09T20:39:11
11,0.0651250915080695,0.9838082901554405,,,1.654346968205711e-05,2413.0,2026-09-09T21:19:24
12,0.053056111491714734,0.9870466321243523,,,9.549150281252635e-06,2406.18,2026-09-09T21:59:30
13,0.04882543981968005,0.9896373056994818,,,4.322727117869952e-06,2435.98,2026-09-09T22:40:06
14,0.03160526650870904,0.9954663212435233,,,1.092619963309716e-06,2412.0,2026-09-09T23:20:18
15,0.04166455400282507,0.9902849740932642,,,0.0,2412.89,2026-09-10T00:00:31
