epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.036307324303522,0.005208333333333333,0.23965,0.6232464929859718,9.938441702975689e-05,760.19,2026-09-02T00:15:26
2,8.304889482922023,0.08090277777777778,0.17025,0.503006012024048,9.755282581475769e-05,724.24,2026-09-02T00:30:44
3,3.707547736167908,0.37256944444444445,0.13485,0.3186372745490982,9.45503262094184e-05,726.14,2026-09-02T00:46:06
4,1.499160309963756,0.6878472222222223,0.12315000000000001,0.3186372745490982,9.045084971874738e-05,766.49,2026-09-02T01:02:29
